altitude,latitude,longitude
0,35710454,139743247
0,35682557,139774076
0,35770036,139802273
0,35745061,139729492
0,35735121,139765409
0,35620892,139737603
0,35732972,139720771
0,35625791,139740809
0,35691418,139736069
0,35687388,139865346
0,35631643,139847882
0,35626597,139713997
0,35697728,139704287
0,35649414,139736460
0,35664772,139765452
0,35670109,139774957
0,35655933,139703565
0,35699448,139743066
0,35691066,139771056
0,35702794,139852388
0,35698329,139858047
0,35671222,139773421
0,35692303,139724119
0,35670380,139731830
0,35671359,139804275
0,35728219,139827227
0,35626340,139723439
0,35647654,139709402
0,35690916,139780479
0,35706884,139772825
0,35653806,139769594
0,35689422,139715554
0,35754685,139715684
0,35721765,139705297
0,35720553,139733411
0,35655828,139845415
0,35714794,139776931
0,35657658,139701568
0,35688981,139730225
0,35695999,139725070
0,35695556,139735836
0,35667560,139803260
0,35687906,139826487
0,35696748,139814023
0,35619738,139736822
0,35706786,139731220
0,35634650,139713333
0,35694827,139813077
0,35689484,139866820
0,35759984,139705330
0,35696002,139794254
0,35711022,139814007
0,35702790,139766273
0,35629943,139776570
0,35681634,139768109
0,35658136,139701686
0,35647054,139731134
0,35684634,139702236
0,35708334,139769997
0,35671689,139816491
0,35660742,139755151
0,35706855,139843606
0,35669022,139816535
0,35656432,139881005
0,35665837,139758274
0,35699535,139772499
0,35762457,139770698
0,35764187,139811944
0,35729401,139836332
0,35621027,139731250
0,35650122,139712207
0,35715413,139767490
0,35704099,139808413
0,35631626,139773563
0,35702776,139764719
0,35753967,139851550
0,35641270,139757824
0,35649603,139754819
0,35728173,139703633
0,35631173,139879364
0,35616868,139731679
0,35671942,139744174
0,35678234,139737413
0,35691382,139703607
0,35715466,139817540
0,35737485,139713807
0,35640598,139752507
0,35670021,139750589
0,35712509,139703679
0,35625282,139775555
0,35760038,139830038
0,35671534,139826174
0,35669023,139760078
0,35648625,139710375
0,35694455,139721318
0,35792636,139716693
0,35669442,139768066
0,35732152,139867559
0,35672779,139745557
0,35740754,139868242
0,35693317,139817642
0,35647211,139735986
0,35659288,139791783
0,35754012,139738403
0,35616829,139732686
0,35710091,139795227
0,35714385,139797068
0,35689538,139770077
0,35676124,139763190
0,35692895,139811079
0,35702943,139772877
0,35696655,139760467
0,35646428,139746271
0,35691562,139725292
0,35759226,139723107
0,35754084,139708589
0,35702058,139737853
0,35732738,139712489
0,35658048,139703049
0,35709821,139733699
0,35628657,139748131
0,35625663,139725394
0,35626937,139722780
0,35785667,139700024
0,35662460,139703700
0,35747185,139745548
0,35704485,139744287
0,35646388,139809281
0,35694996,139700436
0,35666734,139747897
0,35765351,139725746
0,35791726,139826217
0,35695027,139768953
0,35687953,139773359
0,35731920,139729584
0,35629042,139739680
0,35743781,139820959
0,35705732,139774428
0,35742769,139760725
0,35657236,139707613
0,35646199,139722501
0,35735737,139718476
0,35646133,139827282
0,35671393,139752613
0,35686522,139744028
0,35628565,139750178
0,35609237,139735286
0,35691455,139701945
0,35611743,139735682
0,35708919,139808406
0,35674281,139795685
0,35719309,139727950
0,35617603,139832575
0,35697892,139741490
0,35700074,139763702
0,35624992,139776091
0,35690204,139700353
0,35658213,139786862
0,35711754,139781201
0,35696599,139825179
0,35673714,139727009
0,35718744,139857834
0,35715733,139777844
0,35613650,139706474
0,35747579,139700821
0,35668302,139755878
0,35751732,139720145
0,35708293,139795404
0,35646928,139728310
0,35666615,139755015
0,35710107,139774420
0,35640523,139742276
0,35664371,139761148
0,35655518,139705058
0,35736307,139795797
0,35632681,139879337
0,35689591,139802936
0,35666182,139705900
0,35625563,139727654
0,35691817,139704390
0,35730773,139744118
0,35683143,139899759
0,35774879,139784796
0,35773742,139831952
0,35627224,139886684
0,35681157,139764394
0,35734048,139713277
0,35663412,139879535
0,35667109,139778545
0,35658155,139700131
0,35710576,139752767
0,35681481,139702907
0,35699631,139771345
0,35694704,139802847
0,35735707,139800474
0,35701390,139862750
0,35764618,139722587
0,35634666,139713827
0,35692596,139700888
0,35732438,139710533
0,35709612,139728029
0,35727697,139787242
0,35702470,139755737
0,35728823,139705955
0,35678455,139767637
0,35663314,139762907
0,35699378,139893400
0,35707478,139794723
0,35759749,139844819
0,35762869,139832405
0,35762726,139736779
0,35655525,139745182
0,35729811,139712475
0,35711822,139779980
0,35659984,139707409
0,35735866,139763770
0,35747951,139837579
0,35670393,139743641
0,35633168,139709347
0,35670497,139804755
0,35619913,139732037
0,35632038,139790768
0,35678440,139787372
0,35658482,139705449
0,35640725,139804415
0,35713285,139706878
0,35636044,139705972
0,35724925,139796899
0,35693695,139816502
0,35657185,139701833
0,35671583,139703636
0,35799140,139715219
0,35671425,139841380
0,35628322,139778613
0,35754221,139819788
0,35664875,139730482
0,35715200,139809089
0,35717731,139820052
0,35706302,139723347
0,35713843,139776311
0,35628911,139718993
0,35696139,139830282
0,35677786,139760630
0,35792998,139815589
0,35705969,139857679
0,35607403,139744168
0,35787385,139805376
0,35661041,139792880
0,35793005,139735971
0,35620301,139737304
0,35721241,139875535
0,35692907,139762039
0,35741903,139842946
0,35647404,139757979
0,35713235,139766679
0,35711016,139703193
0,35693873,139768631
0,35646127,139847197
0,35700341,139868971
0,35626498,139738981
0,35686092,139897472
0,35634140,139792460
0,35760039,139701083
0,35625290,139712607
0,35671046,139776180
0,35657330,139757540
0,35712791,139775645
0,35702935,139719911
0,35644001,139864521
0,35727038,139728155
0,35719706,139795625
0,35635829,139746153
0,35741566,139721364
0,35697386,139780422
0,35708076,139720743
0,35700491,139747817
0,35656411,139864079
0,35701800,139745069
0,35685163,139768260
0,35716597,139738320
0,35731220,139708144
0,35720675,139779003
0,35782717,139837193
0,35627483,139881606
0,35752564,139738059
0,35719322,139785811
0,35750698,139794255
0,35793916,139896447
0,35667409,139789502
0,35690246,139743682
0,35682213,139889272
0,35662216,139717079
0,35684162,139763603
0,35694349,139704554
0,35675704,139766035
0,35613427,139724701
0,35657906,139703008
0,35677407,139749074
0,35772485,139798128
0,35737266,139702931
0,35700459,139800003
0,35667870,139747842
0,35683325,139798600
0,35701003,139724049
0,35713688,139703925
0,35688974,139700585
0,35682479,139742319
0,35679959,139784924
0,35638273,139733823
0,35694188,139789246
0,35658278,139703090
0,35661270,139814356
0,35657729,139700910
0,35670035,139774781
0,35674880,139762763
0,35658107,139783926
0,35761033,139814286
0,35646696,139727728
0,35671446,139755579
0,35658374,139701101
0,35712674,139705964
0,35699374,139766552
0,35696953,139763662
0,35771225,139846954
0,35690228,139775607
0,35767296,139770559
0,35639200,139714052
0,35795858,139781687
0,35638282,139726246
0,35778271,139720802
0,35720266,139822686
0,35659741,139701301
0,35727248,139793416
0,35646319,139857537
0,35760544,139705376
0,35766203,139829020
0,35688017,139700369
0,35660854,139701678
0,35635973,139715142
0,35675530,139736924
0,35702194,139737567
0,35669562,139765133
0,35681605,139701998
0,35676010,139837166
0,35717764,139720539
0,35702625,139761882
0,35675992,139769448
0,35714575,139790727
0,35702591,139814423
0,35695465,139771367
0,35705638,139743922
0,35746821,139809522
0,35674714,139794861
0,35660047,139704420
0,35619586,139729526
0,35788399,139796332
0,35737209,139702770
0,35700431,139720227
0,35662079,139879447
0,35731063,139715427
0,35745331,139727022
0,35715226,139866025
0,35635557,139878522
0,35717796,139859398
0,35722772,139840774
0,35680831,139784783
0,35662971,139759351
0,35674401,139703837
0,35600384,139740746
0,35678202,139821808
0,35702050,139789496
0,35608007,139743344
0,35670341,139755570
0,35680825,139769439
0,35727252,139862093
0,35759254,139731761
0,35720203,139815862
0,35675350,139808869
0,35737706,139761420
0,35660287,139763211
0,35761754,139729200
0,35625492,139883376
0,35778687,139790228
0,35732063,139797481
0,35634348,139713990
0,35691863,139762371
0,35658595,139700701
0,35628414,139738275
0,35654280,139741033
0,35671045,139762792
0,35708881,139751930
0,35670135,139764176
0,35704920,139825929
0,35708539,139750131
0,35705226,139774270
0,35713572,139701859
0,35728306,139770487
0,35654911,139754525
0,35708259,139793659
0,35715821,139780607
0,35675952,139762282
0,35690567,139767910
0,35748317,139722443
0,35626387,139751393
0,35702738,139775850
0,35611835,139735700
0,35614818,139716569
0,35645226,139714008
0,35701114,139780777
0,35692562,139770615
0,35625032,139775648
0,35660391,139760280
0,35759230,139789114
0,35664377,139759682
0,35683935,139784416
0,35693784,139806207
0,35653591,139762398
0,35643690,139744269
0,35627466,139738504
0,35712211,139777864
0,35656621,139736572
0,35696795,139806243
0,35682268,139702610
0,35683215,139784298
0,35707228,139753585
0,35799248,139766800
0,35718416,139781581
0,35626408,139723077
0,35722468,139856043
0,35667581,139739466
0,35732522,139712059
0,35648484,139737249
0,35663649,139733412
0,35646923,139839710
0,35790415,139862294
0,35707550,139743248
0,35646636,139709406
0,35780056,139826195
0,35734701,139784689
0,35711680,139751689
0,35633919,139715624
0,35760642,139769059
0,35676224,139759056
0,35645248,139734142
0,35745046,139718935
0,35732220,139737018
0,35695501,139769318
0,35602480,139711833
0,35719358,139706288
0,35675557,139759946
0,35691434,139883586
0,35618877,139740685
0,35654197,139755916
0,35657020,139893155
0,35636542,139885230
0,35667972,139832100
0,35782983,139718026
0,35710928,139796726
0,35604778,139747373
0,35663006,139715991
0,35669705,139758823
0,35726141,139718439
0,35708388,139707036
0,35655603,139724009
0,35708219,139817460
0,35718747,139723771
0,35641278,139741195
0,35663030,139732204
0,35737775,139761250
0,35737954,139715145
0,35702921,139747477
0,35633482,139710036
0,35734835,139880263
0,35706222,139880472
0,35790703,139787251
0,35642171,139701830
0,35702542,139771715
0,35600395,139734419
0,35679455,139781468
0,35710444,139808545
0,35785298,139720800
0,35713699,139704331
0,35712318,139796433
0,35713385,139776429
0,35627877,139722144
0,35699481,139773285
0,35609759,139727401
0,35695642,139703435
0,35698201,139768180
0,35631374,139797494
0,35749087,139718096
0,35763751,139834560
0,35694837,139700092
0,35606792,139739939
0,35715630,139849616
0,35697257,139813792
0,35669011,139700666
0,35607914,139747028
0,35717026,139717679
0,35627553,139719103
0,35670649,139723980
0,35733896,139702665
0,35696344,139750913
0,35689334,139740753
0,35673969,139770003
0,35731066,139796462
0,35633774,139878990
0,35683695,139761120
0,35647780,139709155
0,35659443,139700839
0,35638564,139747118
0,35612896,139718578
0,35733293,139771360
0,35712188,139797885
0,35730420,139721650
0,35603959,139734656
0,35635214,139705738
0,35781700,139843696
0,35630103,139717732
0,35734118,139717161
0,35626896,139716678
0,35768589,139880679
0,35617953,139729350
0,35628967,139711504
0,35683776,139776754
0,35787858,139707512
0,35615971,139716917
0,35656503,139736115
0,35634002,139799367
0,35654740,139795819
0,35684821,139895769
0,35674626,139876037
0,35680511,139715810
0,35658914,139712338
0,35732460,139880505
0,35647347,139736191
0,35738042,139772773
0,35687886,139768653
0,35653772,139754139
0,35602635,139755184
0,35659380,139718121
0,35678786,139775532
0,35670675,139849955
0,35607313,139747553
0,35616547,139741404
0,35699002,139814672
0,35606198,139743071
0,35676057,139761410
0,35725783,139785679
0,35605797,139745231
0,35630386,139770136
0,35686941,139773066
0,35668474,139789457
0,35702358,139712026
0,35672547,139763379
0,35698205,139765406
0,35785639,139731297
0,35735014,139746868
0,35681085,139806659
0,35726118,139709304
0,35697247,139720445
0,35692036,139794157
0,35673036,139816265
0,35698055,139700186
0,35656357,139736728
0,35763284,139838015
0,35696449,139707180
0,35662022,139726907
0,35680636,139741863
0,35693971,139724224
0,35663978,139756941
0,35637736,139704750
0,35678797,139851297
0,35693441,139701266
0,35707378,139771412
0,35644298,139863496
0,35742681,139796132
0,35732305,139784215
0,35659609,139864929
0,35680743,139731935
0,35765180,139847685
0,35699413,139771659
0,35712179,139710411
0,35694720,139706560
0,35749305,139727458
0,35659965,139730100
0,35690178,139842542
0,35737075,139720851
0,35701413,139775441
0,35690564,139706371
0,35733750,139882175
0,35745620,139844782
0,35679827,139835034
0,35740788,139870280
0,35691661,139737510
0,35696112,139753174
0,35622061,139730936
0,35701452,139717051
0,35707232,139776009
0,35660468,139711939
0,35663501,139710573
0,35738230,139750738
0,35620921,139737534
0,35695048,139752520
0,35748324,139722350
0,35738217,139777032
0,35660820,139734101
0,35603719,139706659
0,35766152,139879942
0,35672154,139724698
0,35656760,139757211
0,35685931,139733843
0,35661051,139776108
0,35647805,139722490
0,35708243,139741170
0,35707375,139718289
0,35620152,139727850
0,35779635,139720566
0,35681099,139739345
0,35659560,139701352
0,35696260,139756835
0,35676258,139778967
0,35749114,139740089
0,35673258,139755283
0,35658873,139745352
0,35748171,139776916
0,35652122,139729626
0,35701724,139789508
0,35674393,139781981
0,35707622,139723707
0,35654541,139746758
0,35692196,139764720
0,35732533,139767242
0,35751396,139856495
0,35707883,139732391
0,35743280,139718137
0,35651428,139793459
0,35695789,139749774
0,35641741,139709361
0,35678938,139703400
0,35779120,139879569
0,35634171,139716981
0,35642945,139712239
0,35732858,139842299
0,35710791,139795656
0,35676405,139763984
0,35631586,139701696
0,35697458,139784143
0,35687670,139790575
0,35681379,139780518
0,35699378,139850348
0,35746956,139805942
0,35621226,139731356
0,35654148,139746401
0,35627409,139739129
0,35697498,139767508
0,35681316,139712246
0,35667945,139756310
0,35676543,139768513
0,35639696,139875937
0,35734339,139741106
0,35672913,139782822
0,35706348,139754287
0,35732464,139785535
0,35677765,139806222
0,35730159,139818953
0,35674293,139815647
0,35673968,139765023
0,35689286,139708306
0,35708881,139758725
0,35763285,139722320
0,35686502,139773769
0,35639857,139741599
0,35769368,139841412
0,35639322,139745949
0,35651514,139799360
0,35640254,139740862
0,35746689,139846130
0,35695755,139826587
0,35630835,139739960
0,35627004,139719121
0,35712767,139763407
0,35726911,139767943
0,35665548,139737225
0,35674105,139776948
0,35743452,139891410
0,35686835,139713852
0,35633050,139886170
0,35687284,139791380
0,35691342,139789945
0,35671904,139794329
0,35689413,139750976
0,35693475,139743404
0,35730876,139795165
0,35711623,139703401
0,35740521,139852713
0,35658481,139754258
0,35733564,139739890
0,35695342,139735334
0,35731493,139789365
0,35676860,139771959
0,35747353,139799130
0,35697723,139830744
0,35697808,139890519
0,35673597,139765720
0,35711968,139775433
0,35604440,139708310
0,35740013,139892202
0,35744200,139817693
0,35646522,139749900
0,35754522,139754468
0,35606756,139737115
0,35692219,139782485
0,35771242,139789900
0,35634837,139891000
0,35687959,139769140
0,35748423,139846971
0,35659327,139701171
0,35651855,139759643
0,35743182,139876247
0,35680773,139733831
0,35764481,139792033
0,35756261,139707495
0,35688719,139776485
0,35657113,139700940
0,35678883,139787206
0,35750522,139760120
0,35664421,139761300
0,35675703,139760534
0,35630944,139750557
0,35703697,139765410
0,35668195,139798619
0,35672794,139762305
0,35656428,139832384
0,35666603,139762524
0,35660709,139738844
0,35710928,139796442
0,35652596,139835028
0,35746534,139805006
0,35665725,139770087
0,35699470,139731968
0,35700149,139825456
0,35708334,139769997
0,35696044,139760483
0,35761622,139799799
0,35657390,139750390
0,35729233,139792745
0,35696650,139751137
0,35719857,139763283
0,35696358,139756412
0,35693974,139746553
0,35664705,139727090
0,35654617,139714644
0,35705399,139894530
0,35764210,139899344
0,35678766,139786507
0,35634522,139792612
0,35733511,139739706
0,35662449,139748928
